Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0001808612784363,0.0180191600373319,-0.0010066992638707,0,0,0,0.222069356338279,0.00013051726595754,4.11179123299775E-07,-2.02778699571397E-08,0.000330666767704576,1.51165378052728E-06,0.000241825516008571,0,0,0,0,0,0,package://blue02/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://blue02/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.0343174966874236,-0.00344507312875845,-0.0230620305997283,0,0,0,0.0168488269980785,2.77327908754805E-06,-3.22105701183017E-07,-2.26775561062583E-12,1.21496555654029E-05,-5.00426200709654E-13,9.92161165241104E-06,0,0,0,0,0,0,package://blue02/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://blue02/meshes/Link1.STL,,link_1-1-1,Origin_Joint12,Axis1,Joint1,continuous,0.004938,-0.0395,0.040325,-1.5708,0.31922,1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,0.0126,0.0119177461611013,1.196959198424E-14,0,0,0,0.00283590714079142,1.38027104044294E-07,-3.51738268802297E-24,1.79362883603125E-23,1.58449114328455E-07,3.97046694025453E-23,2.69919583243166E-07,0,0,0,0,0,0,package://blue02/meshes/Link2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://blue02/meshes/Link2.STL,,link_1-2-1,Origin_Joint23,Axis2,Joint2,continuous,-0.08,-0.004,-0.010662,1.6021,1.5708,0,Link1,1,0,0,0,0,0,0,,,,,,,,
Link3,-0.0301999999999765,0.0420000000000081,8.40492935319515E-09,0,0,0,0.0115483860896402,6.99727115654008E-06,6.05605579279737E-06,3.28225267061041E-21,5.72454936139626E-06,-4.02340649945793E-21,1.2540943263813E-05,0,0,0,0,0,0,package://blue02/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://blue02/meshes/Link3.STL,,link_1-4-1,Origin_Joint33,Axis3,Joint3,continuous,0.0214,0.02,0,1.6389,-1.5708,-2.0564,Link2,-1,0,0,0,0,0,0,,,,,,,,
Link4,-0.0301999999999559,0.042000000000024,8.40489629977403E-09,0,0,0,0.0115483860896403,6.9972711565401E-06,6.05605579279738E-06,-3.49401090742399E-21,5.72454936139628E-06,2.32934060494933E-21,1.25409432638131E-05,0,0,0,0,0,0,package://blue02/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://blue02/meshes/Link4.STL,,link_1-3-1,Origin_Joint43,Axis4,Joint4,continuous,0.0038,0.02,0,1.55,-1.5708,-2.012,Link2,-1,0,0,0,0,0,0,,,,,,,,
Link5,5.31380495161216E-14,0.00991774616108076,-6.93889390390723E-17,0,0,0,0.00283590714079142,1.38027104044293E-07,-3.00383054696694E-21,9.21812187730928E-23,1.58449114328455E-07,4.55908866414727E-20,2.69919583243166E-07,0,0,0,0,0,0,package://blue02/meshes/Link5.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://blue02/meshes/Link5.STL,,link_1-5-1,Origin_Joint55,Axis5,Joint5,fixed,-0.0604,0.10399,-0.0013692,-1.5708,-1.1845,-1.5708,Link4,0,0,0,0,0,0,0,,,,,,,,
