Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
foot,2.94540571336509E-15,-0.000485428158718312,0.00481121221112329,0,0,0,0.0431626228283364,9.2501772724804E-06,-7.13979087059034E-21,-9.94928950890282E-19,3.41465292323659E-05,2.10273541230202E-07,4.21467983924722E-05,0,0,0,0,0,0,package://bluefeet-urdf/meshes/foot.STL,1,1,1,1,0,0,0,0,0,0,package://bluefeet-urdf/meshes/foot.STL,,bluefeet-1/feet-1,Coordinate System26,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl1,0.011917746161099,1.04083408558608E-17,-3.46944695195361E-18,0,0,0,0.00283590714079141,1.58449114328455E-07,-5.50699764411937E-24,-3.330273686942E-23,2.69919583243165E-07,5.6221076426108E-24,1.38027104044294E-07,0,0,0,0,0,0,package://bluefeet-urdf/meshes/fl1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://bluefeet-urdf/meshes/fl1.STL,,bluefeet-1/link2-1,Coordinate System27,Axis3,fj1,revolute,0.025,-0.014,0.018,1.5708,-1.5708,0,foot,0,0,-1,0,0,0,0,,,,,,,,
fl2,0.011917746161099,1.38777878078145E-17,9.10725272540198E-18,0,0,0,0.00283590714079142,1.58449114328455E-07,1.76340876041553E-25,1.50618263651043E-23,2.69919583243166E-07,-1.73283008985669E-23,1.38027104044294E-07,0,0,0,0,0,0,package://bluefeet-urdf/meshes/fl2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://bluefeet-urdf/meshes/fl2.STL,,bluefeet-1/link2-2,Coordinate System28,Axis4,fj2,revolute,0,0.009,0.018,0,-1.5708,0,foot,0,0,1,0,0,0,0,,,,,,,,
fl3,0.011917746161099,0,0,0,0,0,0.00283590714079141,1.58449114328455E-07,4.98328391842494E-24,-1.71479158624406E-23,2.69919583243165E-07,1.15355055036625E-23,1.38027104044294E-07,0,0,0,0,0,0,package://bluefeet-urdf/meshes/fl3.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://bluefeet-urdf/meshes/fl3.STL,,bluefeet-1/link2-3,Coordinate System29,Axis5,fj3,revolute,-0.025,-0.014,0.018,1.5708,-1.5708,0,foot,0,0,1,0,0,0,0,,,,,,,,
