Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_feet,-2.1345E-08,0.00010829,0.0057911,0,0,0,0.02827,2.9876E-06,-6.9853E-12,2.158E-12,1.5204E-05,-2.7552E-08,1.7419E-05,0,0,0,0,0,0,package://blue-feet/meshes/base_link_feet.STL,0.60784,0.86667,1,1,0,0,0,0,0,0,package://blue-feet/meshes/base_link_feet.STL,,feet-1,Coordinate System14,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1_feet,0.011918,6.9389E-18,6.9389E-18,0,0,0,0.0028359,1.5845E-07,-5.1957E-24,3.4228E-23,2.6992E-07,2.3397E-24,1.3803E-07,0,0,0,0,0,0,package://blue-feet/meshes/Link1_feet.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue-feet/meshes/Link1_feet.STL,,feet_link-1,Coordinate System15,Axis14,Joint1_feet,revolute,0.024,0.0089993,0.016,1.5708,-1.5708,0,base_link_feet,0,0,1,0,0,0,0,,,,,,,,
Link2_feet,0.011918,0,0,0,0,0,0.0028359,1.5845E-07,2.7941E-25,1.5804E-23,2.6992E-07,-5.6063E-24,1.3803E-07,0,0,0,0,0,0,package://blue-feet/meshes/Link2_feet.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue-feet/meshes/Link2_feet.STL,,feet_link-2,Coordinate System16,Axis15,Joint2_feet,revolute,-0.024,0.0089993,0.016,1.5708,-1.5708,0,base_link_feet,0,0,-1,0,0,0,0,,,,,,,,
Link3_feet,0.011918,1.3878E-17,2.511E-18,0,0,0,0.0028359,1.5845E-07,-3.083E-24,1.2215E-23,2.6992E-07,-1.1957E-23,1.3803E-07,0,0,0,0,0,0,package://blue-feet/meshes/Link3_feet.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue-feet/meshes/Link3_feet.STL,,feet_link-3,Coordinate System17,Axis16,Joint3_feet,revolute,0,-0.013,0.016,3.1416,-1.5708,0,base_link_feet,0,0,-1,0,0,0,0,,,,,,,,
