4.158554673194885254e-01 5.227599740028381348e-01 7.035180926322937012e-01
4.567935466766357422e-01 5.441594719886779785e-01 7.248830199241638184e-01
5.129583477973937988e-01 5.690278410911560059e-01 7.446586489677429199e-01
5.791685581207275391e-01 5.968246459960937500e-01 7.617328166961669922e-01
6.414033174514770508e-01 6.251817941665649414e-01 7.786170244216918945e-01
7.005729675292968750e-01 6.736247539520263672e-01 7.894878387451171875e-01
7.276006340980529785e-01 7.196319699287414551e-01 7.886032462120056152e-01
7.420389056205749512e-01 7.315158843994140625e-01 7.836105227470397949e-01
7.509428858757019043e-01 7.222813367843627930e-01 7.755261659622192383e-01
7.547585368156433105e-01 7.052454948425292969e-01 7.612987756729125977e-01
7.580971717834472656e-01 6.935997605323791504e-01 7.350610494613647461e-01
7.566354274749755859e-01 6.720479130744934082e-01 6.992594003677368164e-01
7.525021433830261230e-01 6.448418498039245605e-01 6.545895338058471680e-01
7.577403187751770020e-01 5.995634794235229492e-01 5.896939039230346680e-01
7.554235458374023438e-01 5.546615719795227051e-01 5.279488563537597656e-01
7.455758452415466309e-01 5.137199163436889648e-01 4.739483892917633057e-01
7.286283373832702637e-01 4.753690659999847412e-01 4.282018542289733887e-01
7.040539383888244629e-01 4.456406235694885254e-01 3.961942791938781738e-01
6.697185635566711426e-01 4.316693842411041260e-01 3.779026865959167480e-01
6.251747608184814453e-01 4.346264600753784180e-01 3.734441697597503662e-01
5.805261731147766113e-01 4.409212470054626465e-01 3.774345517158508301e-01
5.524670481681823730e-01 4.384962022304534912e-01 3.796785771846771240e-01
5.247775912284851074e-01 4.358790814876556396e-01 3.866842687129974365e-01
4.969369769096374512e-01 4.381394684314727783e-01 4.046747088432312012e-01
4.656414389610290527e-01 4.404193758964538574e-01 4.399534761905670166e-01
4.311884045600891113e-01 4.418351650238037109e-01 4.821476936340332031e-01
4.064879715442657471e-01 4.352241754531860352e-01 5.251291990280151367e-01
3.825173377990722656e-01 4.349595904350280762e-01 5.603979229927062988e-01
3.694633543491363525e-01 4.435008764266967773e-01 5.826841592788696289e-01
3.623677194118499756e-01 4.591753184795379639e-01 6.149159669876098633e-01
3.684728443622589111e-01 4.801544845104217529e-01 6.485284566879272461e-01
3.858363330364227295e-01 5.026094317436218262e-01 6.791008114814758301e-01
